Project,It,"DataQual
","TeamSize
",FpAppTot,FpDevIt,EnhAdjFac,MainAdj,AfpApp,AfpDev,ManDayIt,ProductiveIt,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEit,LocByAfpJava+VUE,LocByAfpJava,LocByAfpVUE,TestCasesTotal,TstcByAfpTotal,MandayTst,AutoTstRate,TstCasesManual,MandayManualTst,TstProductivityManual,TstCasesAuto,MandayAutoTst,TstProductivityAuto,DefectCount,ButRate,DefectDens,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,MandayItTotal,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEiter,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,BugCount
P0,P0,,,,,,,,,,100,,,,,,0,,,100,,100%,,,,,,100,,,0,,,,,,,,,,,,,,
P0,P10,,,,,,,,,,3.64,,,,,,14,,,2,,98%,,,,,,25,,,0.05,,,,,,,,,,,,,,
P0,P25,,,,,,,,,,2.03,,,,,,20.5,,,1.5,,95%,,,,,,20,,,0.15,,,,,,,,,,,,,,
P0,P50,,,,,,,,,,1.12,,,,,,27,,,1.2,,90%,,,,,,15,,,0.33,,,,,,,,,,,,,,
P0,P75,,,,,,,,,,0.65,,,,,,53,,,0.8,,50%,,,,,,10,,,0.62,,,,,,,,,,,,,,
P0,P90,,,,,,,,,,0.45,,,,,,134,,,0.1,,10%,,,,,,5,,,1.18,,,,,,,,,,,,,,
P0,P100,,,,,,,,,,0.00,,,,,,10000,,,0,,0%,,,,,,0,,,100,,,,,,,,,,,,,,
P1,P1-1,1.2,,334.8,334.8,1.00 ,1.00 ,401.76,401.76 ,168,2.39,11670,2836,8998,1636,26.62 ,29.05,22.40,111,0.28,12,0%,111,12,9.25,0,0,#DIV/0!,52,4.33,0.13,334.8,334.8,1,1,168.00,11670,2836,8998,1636,111 ,12 ,0 ,0 ,52 
P1,P1-2,1.2,,707.4,372.6,0.68 ,1.00 ,580.63 ,305.83 ,90,3.40,14218,2548,10517,1519,45.19 ,24.49,18.11,96,0.31,10,0%,96,10,9.60,0,0,#DIV/0!,56,5.60,0.18,707.4,372.6,0.684,1,90.00,14218,2548,10517,1519,96 ,10 ,0 ,0 ,56 
P2,P2-1,1.0,,610.2,610.2,1.00 ,1.00 ,610.20 ,610.20 ,1152,0.53,25547,25547,44805,44805,61.07 ,41.87,73.43,774,1.27,56,6%,730,51,14.31,44,5,8.80,105,1.88,0.17,610.2,610.2,1,1,1152.00,25547,25547,44805,44805,730 ,51 ,44 ,5 ,105 
