mid,correff,acorreff,totfp,pcobol,ptelon,peasy,pjcl,t,ageend,avetrans,disksp,cpu,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,appdef
5,61,61,273,0.57,0,0,0.43,3,48,0,68,0,3,1,2,3,2,2,2,1,1,1,2
6,2125,2125,1748,0.3,0,0.18,0.52,4,44,25,39013,1829,4,4,4,2,2,2,4,4,4,3,53
8,430,430,84,0.38,0,0.02,0.6,4,48,0,4,996,1,3,2,3,2,2,5,1,4,1,1
9,108,108,448,0.18,0,0.42,0.4,4,84,0,574,18,3,4,3,4,3,2,4,2,4,3,1
11,59,59,152,0.22,0,0.24,0.54,3,36,0,2163,46,5,4,4,2,1,3,5,5,5,1,0
13,25,25,23,1,0,0,0,4,37,0,0,0,4,2,3,4,2,2,1,4,1,3,0
14,85,85,278,0.1,0,0,0.9,3,19,0,2764,282,5,5,5,2,1,2,5,5,5,1,1
15,350,350,63,1,0,0,0,3,24,0,0,0,5,4,4,2,1,1,4,1,5,2,1
16,44,44,24,0.38,0,0,0.63,3,15,0,0,0,5,5,5,2,1,2,5,5,5,1,0
17,235,235,73,0.26,0,0,0.74,4,50,74,94,132,4,2,1,3,3,2,4,1,4,1,0
18,260,260,60,0.42,0,0.05,0.55,3,50,7,220,212,2,1,1,2,3,2,4,1,4,3,0
19,67,67,54,0.93,0,0,0.09,3,50,0,8,0,3,4,4,2,2,2,4,1,5,2,0
20,82,123,151,0.38,0,0,0.62,3,8,0,109,108,1,1,2,2,2,3,4,1,3,1,0
21,33,33,49,0.24,0,0.2,0.55,3,50,0,38,19,1,1,1,2,3,2,4,1,4,1,2
22,360,360,939,0.16,0.44,0.03,0.37,3,24,1,501,443,3,1,1,1,1,1,2,2,1,1,8
24,312,312,381,0.29,0,0.07,0.64,4,50,8,677,209,3,1,2,1,1,1,4,3,3,1,4
25,218,218,177,0.3,0,0.15,0.55,4,50,0,61,35,1,1,2,2,1,2,4,1,3,1,7
26,196,196,934,0.06,0.8,0,0.13,3,41,1,128,69,3,1,1,3,2,2,3,2,3,1,5
27,29,29,213,0.51,0,0,0.49,3,39,0,55,36,3,1,2,3,4,2,4,1,2,1,2
28,38,38,87,0.7,0,0,0.3,4,64,1,6,17,3,2,1,2,2,3,3,1,1,3,11
29,74,74,347,0.67,0,0,0.33,4,58,143,431,117,5,3,1,1,1,1,5,4,2,1,0
30,214,214,887,0.79,0,0,0.21,,39,3,336,506,2,2,1,1,1,2,5,4,5,1,0
31,112,112,321,0.01,0.87,0,0.12,4,35,0,11,5,3,2,2,2,2,2,4,4,4,1,11
32,319,319,481,0.31,0.34,0.04,0.31,3,26,31,154,152,4,2,3,3,2,2,4,5,4,2,1
33,96,96,252,0.19,0.42,0,0.39,3,8,1,176,276,4,4,4,3,2,2,5,2,4,1,0
34,861,861,559,0.04,0.34,0.14,0.49,3,21,14,282,63,4,1,1,2,1,2,3,3,2,1,7
35,248,248,381,0.01,0.69,0,0.31,3,8,3,617,25,4,4,3,1,2,2,5,5,5,1,0
36,3031,3031,471,0.33,0.06,0.27,0.35,4,44,345,418,6,5,4,4,2,2,2,4,5,4,2,24
37,2056,2056,1979,0.23,0,0.23,0.53,4,27,3,30008,1884,5,4,4,2,2,2,4,5,4,2,59
38,2500,2500,274,0,0,0.23,0.77,3,20,0,7789,254,4,4,4,2,4,2,4,3,4,2,0
39,1122,1122,1264,0.68,0.19,0,0.13,3,45,18,1352,50,4,2,3,4,3,3,5,4,4,3,20
40,350,350,292,0.19,0,0.13,0.68,1,36,0,906,912,5,4,3,2,4,1,5,3,5,1,3
41,463,463,724,0.76,0,0.03,0.21,,40,10,1564,115,1,1,1,4,1,2,4,1,4,1,3
42,96,96,36,0.42,0,0,0.58,,36,0,2,187,4,4,3,1,2,1,4,1,4,1,0
43,292,292,301,0.24,0,0.2,0.56,4,25,0,1717,1345,5,1,1,2,1,1,5,1,4,1,5
44,260,260,715,0,0.36,0.19,0.45,3,26,6,877,42,1,2,1,1,3,2,4,5,4,1,3
45,664,664,1361,0.07,0,0.04,0.89,3,23,0,3249,2197,4,4,3,2,1,2,5,1,5,1,11
46,462,462,686,0.11,0,0.05,0.84,3,12,0,450,503,2,4,3,2,1,3,5,1,5,1,19
47,309,309,433,0.02,0,0.02,0.96,4,19,0,2171,1446,5,4,5,2,2,3,5,4,5,1,0
48,535,535,347,0.17,0,0.04,0.79,4,12,0,77,131,5,1,1,3,1,1,5,1,4,1,20
49,284,284,69,0.22,0,0.26,0.52,4,8,25,729,40,4,5,3,2,3,2,5,5,5,3,11
50,401,401,368,0.17,0,0.52,0.31,1,35,0,0,0,5,3,1,3,3,4,5,1,5,2,1
51,319,319,670,0.65,0,0.01,0.34,,44,17,650,36,3,4,2,3,3,1,4,3,3,3,32
52,71,71,448,0.78,0,0.08,0.13,3,35,6,0,0,3,1,2,4,3,3,3,4,1,3,8
53,304,304,986,0.55,0,0.03,0.41,2,35,4,76,0,3,3,2,4,3,3,3,4,1,3,16
54,2840,2840,1366,0.86,0,0,0.14,4,35,10,1,0,3,1,1,3,3,1,5,3,4,3,39
55,164,164,776,0.51,0,0.02,0.47,,44,6,430,1267,2,4,4,3,3,1,4,3,5,3,163
56,55,55,56,0.3,0,0.36,0.32,4,62,23,98,13,1,2,1,4,3,2,2,2,2,3,1
57,2600,2600,68,0.25,0,0,0.74,3,20,0,151,45,4,2,1,3,3,3,2,5,5,3,0
58,1254,1254,801,0.68,0,0.13,0.19,4,35,4,133,46,1,1,1,3,3,2,4,4,3,3,0
59,155,155,114,0.68,0,0.23,0.09,4,10,0,78,30,4,4,3,2,2,1,4,3,4,3,7
61,292,292,237,0.46,0,0.24,0.3,3,76,0,0,0,4,5,2,1,1,2,5,5,1,3,0
62,367,367,216,0.61,0,0,0.39,1,29,7,98,23,4,3,2,1,2,2,5,5,4,3,0
63,795,795,238,0.47,0,0.04,0.49,,47,8,432,85,3,3,2,4,4,2,4,2,5,1,3
64,1611,1611,2328,0.26,0,0.36,0.38,4,76,89,5914,497,4,2,4,2,3,2,3,5,5,3,4
66,278,278,66,0.05,0,0,0.95,,44,0,3,1808,4,1,1,2,4,3,4,5,3,3,7
