Ship,0Sat,S0hed2,ReUse,Defe0tsI1spe0t,Defe0tsTest,FieldedVolatilit0,Mai1t,Experie10e,Domai1Exp,La1guage,DevPlatform,Tur1over,ReqVolatilit0,Parts,FormalU1itTest,I1tegratio1Test,S0stemTest,2Trials,BudgetLoss,S0heduleA0hieveme1t,D/KSLO0,0ustomerBetaTest,TesterT0pe,0ha1gedPriorit0Reqs
1,4,1,0,0,2,2,3,1,2,0,0,19,18,89,0,0,0,0,1,1,3.8,1,0,12
2,3,1,1,1,2,3,3,2,2,0,0,23,23,84,0,0,1,1,1,1,2.9,1,1,7
1,3,0,1,1,1,2,1,1,2,1,0,11,16,86,0,0,1,0,0,0,5.1,0,2,25
1,3,2,2,0,1,4,3,1,1,1,1,16,11,87,0,0,0,0,0,0,3.2,1,1,8
3,4,0,2,2,3,1,2,0,2,0,2,9,14,92,1,0,0,1,0,0,3.6,1,0,11
3,2,1,0,2,1,3,3,2,0,2,2,18,26,90,1,1,0,1,1,1,4.1,0,0,14
2,3,2,2,1,1,2,2,2,0,2,0,11,28,80,1,1,0,1,1,0,6.3,0,2,19
3,1,2,2,1,1,4,3,0,0,0,1,14,24,60,1,0,0,1,1,0,8.3,0,2,17
2,4,1,1,2,2,2,3,1,0,1,1,28,19,90,1,0,0,1,0,1,2.7,1,1,6
1,3,0,0,1,1,2,1,1,2,2,1,9,16,88,0,1,1,0,0,0,5.3,0,2,24
2,2,0,1,0,1,4,4,2,0,2,0,11,34,90,1,1,1,0,1,0,2.9,0,1,5
3,3,2,2,1,3,2,4,0,2,2,0,13,25,75,1,1,1,0,1,0,4.2,0,0,16
2,4,2,2,1,1,1,3,1,2,0,0,15,15,92,0,0,1,1,0,0,4.6,0,0,15
2,5,1,1,1,2,1,2,2,0,2,0,22,25,95,1,0,1,1,1,1,5.3,1,2,21
2,3,2,2,3,1,3,2,1,2,1,2,16,14,90,0,0,0,0,0,0,7.3,1,2,25
3,3,1,2,3,2,3,4,2,2,0,1,26,17,80,0,0,0,0,0,1,3.4,0,1,7
3,2,2,2,2,1,4,2,2,2,0,1,15,21,65,0,1,0,0,1,0,4.2,1,0,14
2,2,0,0,3,3,3,1,0,2,1,0,11,23,60,0,1,0,0,1,0,6.3,1,2,25
2,4,2,1,0,2,1,1,0,1,1,0,17,12,65,0,0,1,1,1,1,7.1,1,2,22
1,2,2,0,3,2,4,5,2,0,0,0,15,33,78,1,0,1,1,0,1,3.9,0,0,14
1,4,0,0,1,2,1,3,1,1,0,1,12,10,96,1,0,1,1,1,0,5.4,0,2,25
1,3,0,2,1,1,3,3,1,1,1,1,9,5,82,0,0,0,1,1,0,2.7,1,1,4
1,2,2,0,2,3,4,5,2,2,2,0,11,18,77,1,1,0,0,0,0,8.4,1,2,23
2,5,0,0,1,3,1,2,1,1,2,0,4,11,100,1,0,0,1,0,0,4.2,1,0,15
2,4,1,1,3,2,2,3,2,2,0,0,19,16,98,0,0,0,1,1,1,5.1,1,2,24
3,2,0,2,1,3,3,3,2,0,2,0,11,10,78,1,0,1,0,1,0,7.3,0,2,24
3,3,2,0,1,1,2,2,0,0,0,0,15,14,92,1,0,0,0,1,0,3.8,0,0,14
3,1,2,2,3,1,4,4,2,2,1,1,16,26,65,0,0,0,1,0,1,2.8,1,1,6
2,4,2,2,3,3,3,3,0,0,1,2,12,28,92,0,0,0,1,0,0,5.7,1,2,27
3,3,1,2,2,2,3,1,2,2,2,2,24,24,86,1,1,1,0,1,1,4.6,0,0,15
2,2,1,1,3,2,2,4,0,2,2,0,21,16,80,1,0,0,1,1,1,6.2,0,2,24
1,5,0,0,0,1,1,2,1,0,0,1,11,16,85,0,1,0,0,0,0,2.5,1,1,7
1,4,0,2,1,3,2,3,2,2,2,1,9,34,86,1,1,1,0,1,0,4.2,0,0,15
3,5,0,2,1,1,2,2,1,2,2,1,11,25,98,1,1,1,1,1,0,3.9,0,0,15
3,1,1,2,3,2,4,2,1,0,1,0,18,15,62,0,1,0,1,0,1,5.8,1,2,25
2,3,2,1,3,1,2,3,0,1,0,0,15,25,75,1,0,1,0,1,1,4.8,0,0,16
1,2,2,0,2,2,4,2,1,1,0,0,14,14,75,0,0,1,1,0,0,8.3,1,2,21
2,3,2,2,3,1,1,1,1,2,1,0,17,17,95,0,1,0,1,1,1,2.6,0,1,5
3,4,0,0,0,3,2,1,0,1,2,0,11,27,90,1,0,0,0,0,0,3.5,1,0,17
3,1,2,1,1,2,4,5,2,2,1,0,15,23,70,0,0,0,0,1,1,7.8,0,2,22
3,4,2,0,1,2,2,3,2,0,1,1,16,12,80,1,1,1,1,1,1,5.6,0,2,23
1,3,0,1,1,2,2,2,1,1,0,2,14,33,85,0,0,1,1,0,0,5.3,1,2,24
1,3,0,0,1,1,2,3,2,1,2,2,7,24,50,1,0,0,0,0,0,4.4,1,0,13
3,3,2,2,3,1,2,2,2,2,0,1,15,21,80,1,1,0,1,1,0,5.2,0,2,26
3,2,1,0,0,3,4,1,2,1,2,0,28,27,83,1,0,0,1,0,1,3.6,1,1,7
3,2,0,0,1,1,3,5,1,2,1,1,12,23,75,0,0,0,0,1,1,3.3,0,1,5
3,2,2,0,1,3,3,3,0,0,1,1,16,12,80,0,1,1,1,1,1,7.1,0,2,25
2,2,1,0,3,2,4,5,1,0,0,0,25,30,82,0,0,1,1,0,1,4.3,1,1,3
2,3,2,0,1,2,2,3,1,1,0,1,18,19,96,1,0,1,0,1,1,5.1,0,2,24
2,3,0,1,1,1,2,3,1,1,1,1,9,5,82,0,0,0,0,1,0,3.4,0,1,6
2,2,0,1,0,1,4,4,2,0,2,0,11,34,80,1,1,1,0,1,0,4.2,0,0,15
3,3,1,2,1,3,2,4,0,2,2,0,13,25,75,1,1,1,0,1,0,3.7,0,0,14
1,4,2,2,1,1,2,3,2,2,0,0,15,15,85,0,0,1,1,0,0,2.3,1,1,6
2,5,2,1,1,2,1,2,0,0,2,0,16,25,95,1,0,1,1,1,1,3.6,0,1,7
1,3,1,2,3,1,3,2,2,2,1,2,21,14,90,0,0,0,0,0,1,4.2,1,0,16
3,2,2,0,3,2,3,4,2,2,0,1,15,17,70,0,0,0,0,0,1,2.9,1,1,3
3,3,1,2,2,1,2,2,2,2,0,1,25,28,80,0,1,0,1,1,1,5.1,0,0,15
2,1,0,0,3,3,4,4,0,2,1,0,9,15,60,0,1,0,1,1,0,3.6,0,1,6
1,4,2,0,1,2,2,1,1,2,2,1,13,25,93,0,1,1,1,0,0,7.2,1,2,23
3,3,0,2,1,3,2,4,0,2,2,0,13,25,75,1,0,1,0,1,1,4.8,0,0,16
