Project,"DataQual
",FpAppTot,FpDevIt,EnhAdjFac,MainAdj,AfpApp,AfpDev,ManDayIt,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEit,LocByAfpJava+VUE,LocByAfpVUE,TestCasesTotal,MandayTst,AutoTstRate,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,DefectCount,ButRate,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,MandayItTotal,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEiter,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,BugCount,CCI,dSumOfBugCount
P1,1.2,334.8,334.8,1.00 ,1.00 ,401.76,401.76 ,168,11670,2836,8998,1636,26.62 ,22.40,111,12,0%,111,12,0,0,52,4.33,334.8,334.8,1,1,168.00,11670,2836,8998,1636,111 ,12 ,0 ,0 ,52 ,,
P1,1.2,707.4,372.6,0.68 ,1.00 ,580.63 ,305.83 ,90,14218,2548,10517,1519,45.19 ,18.11,96,10,0%,96,10,0,0,56,5.60,707.4,372.6,0.684,1,90.00,14218,2548,10517,1519,96 ,10 ,0 ,0 ,56 ,0.048,108 
P2,1.0,610.2,610.2,1.00 ,1.00 ,610.20 ,610.20 ,1152,25547,25547,44805,44805,61.07 ,73.43,774,56,6%,730,51,44,5,105,1.88,610.2,610.2,1,1,1152.00,25547,25547,44805,44805,730 ,51 ,44 ,5 ,105 ,,
P2,1.0,642.6,76.5,1.00 ,1.00 ,642.60 ,76.50 ,36,22660,2887,45654,849,103.78 ,71.05,90,5,11%,80,4,10,1,12,2.40,642.6,76.5,1,1,36,22660,2887,45654,849,80,4,10,1,12,,
P2,1.0,691.2,97.2,1.00 ,1.00 ,691.20 ,97.20 ,45,22965,305,50504,4850,114.56 ,73.07,115,5,17%,95,4,20,1,15,3.00,691.2,97.2,1,1,45,22965,305,50504,4850,95,4,20,1,15,0.075,132 
P3,1.2,25.92,25.92,0.92 ,0.94 ,31.10 ,26.72 ,9.84,819,819,0,0,83.23 ,0.00,56,2,100%,0,0,56,2,11,5.50,25.92,25.92,0.916,0.938,9.84,819,819,0,0,0 ,0 ,56 ,2 ,11 ,,
P3,1.2,1056,1030,0.90 ,0.94 ,1140.48,1040.09 ,208,21437,20618,0,0,99.13 ,0.00,1635,18,88%,202,3,1433,15,142,7.89,1056,1030,0.9,0.935,208.00,21437,20618,0,0,202 ,3 ,1433 ,15 ,142 ,,
P3,1.2,1302,246,0.66 ,0.90 ,1031.184,175.35 ,55,26763,5326,0,0,96.84 ,0.00,541,12,66%,183,5,358,7,94,7.83,1302,246,0.66,0.9,55.00,26763,5326,0,0,183 ,5 ,358 ,7 ,94 ,,
P3,1.2,1496,194,0.66 ,0.90 ,1184.832,138.28 ,61,33144,27782,0,0,455.44 ,0.00,902,9,89%,96,4,806,5,53,5.89,1496,194,0.66,0.9,61.00,33144,27782,0,0,96 ,4 ,806 ,5 ,53 ,0.031,300 
P5,1.0,1452.6,1452.6,1.00 ,1.00 ,1452.6,1452.60 ,950,39475,39475,0,0,41.55 ,0.00,1346,90,90%,130,30,1216,60,522,5.80,1452.6,1452.6,1,1,950.00,39475,39475,0,0,130 ,30 ,1216 ,60 ,522 ,,
