project,YY-GND,DD-SCL,ZDM-Java,CCI,DMXHL-Java,CSMD,CSQXL,GYHCSQXMD,PRO
P5-9,2640.3,6.892,54329,0.007,15.828,0.58,0.031,0.044,5
P3-6,2310.12,5.893,38821,0.052,12.927,0.779,0.094,0.116,3
P8-8,966.6,3.491,20675,0.053,16.453,0.725,0.078,0.099,8
P2-7,885.6,2.098,27719,0.066,31.3,2.151,0.313,0.236,2
P2-6,858.6,1.92,25955,0.066,30.229,2.198,0.229,0.171,2
P2-5,853.2,1.891,24413,0.074,28.613,1.498,0.194,0.174,2
P8-5,858.6,3.379,19138,0.081,17.146,1.154,0.114,0.116,8
P8-7,945,2.098,20171,0.092,16.419,2.301,0.394,0.288,8
P8-6,907.2,3.622,20044,0.095,16.996,1.424,0.211,0.194,8
P5-7,2219,0.997,58859,0.106,26.525,4.167,0.278,0.152,5
P5-8,2467.5,4.003,53448,0.121,16.662,1.96,0.131,0.104,5
P5-6,2154.2,1.468,55986,0.155,27.129,1.507,0.393,0.352,5
