Project,It,DataQual,ApplAdjFactor,TeamSize,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,AfpApp,AfpDev,LnAfpDev,ManDayIt,ProductiveIt,LocJavaTotal,LocJavaIt,,LnJavaIt,LocVUEtotal,LocVUEit,,,LocByAfpJava,LocByAfpVUE,TestCasesTotal,,TstcByAfpTotal,MandayTst,AutoTstRate,,TstCasesManual,MandayManualTst,TstProductivityManual,,TstCasesAuto,MandayAutoTst,TstProductivityAuto,,DefectCount,DefectDens,ButRate,DefDens,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,MandayItTotal,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEiter,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,BugCount
P1,P1-1,0.7,1.2,7,334.8,334.8,1,1,401.76,401.76,6,168,2.39,11670,2836,7.058940661,7.950149888,8998,1636,4.072082836,27,29.05,22.4,111,0.276284349,0.28,12,0%,,111,12,9.25,,0,0,,,52,0.129430506,4.33,0.13,334.8,334.8,1,1,168,11670,2836,8998,1636,111,12,0,0,52
P1,P1-2,0.7,1.2,7,707.4,372.6,0.68,1,580.63392,447.12,6.1,90,4.97,14218,2548,5.698693863,7.843064017,10517,1519,3.397298264,45,24.49,18.11,96,0.214707461,0.21,10,0%,,96,10,9.6,,0,0,,,56,0.125246019,5.6,0.13,707.4,372.6,0.684,1,90,14218,2548,10517,1519,96,10,0,0,56
P2,P2-1,,1,6,610.2,610.2,1,1,610.2,610.2,6.41,1152,0.53,25547,25547,41.86660111,10.14827517,44805,44805,73.42674533,61,41.87,73.43,774,1.268436578,1.27,56,6%,,730,51,14.31,,44,5,8.8,,105,0.17207473,1.88,0.17,610.2,610.2,1,1,1152,25547,25547,44805,44805,730,51,44,5,105
P3,P3-1,,,,25.92,25.92,0.66,0.938,,9.84,2.29,819,819,0,,0,,0,0,0,,56,2,11,1.117886179,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
P3,P3-2,,,,1056,1030,0.66,0.935,,208,5.34,21437,20618,0,,0,,202,3,0.014423077,,1433,15,142,0.682692308,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
P3,P3-3,,,,1302,246,0.66,0.9,,55,4.01,26763,5326,0,,0,,183,5,0.090909091,,358,7,94,1.709090909,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
P3,P3-4,,,,1496,194,0.66,0.9,,61,4.11,33144,27782,0,,0,,96,4,0.06557377,,806,5,53,0.868852459,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
P4,P4-1,0.7,1.4,8,685.8,0,0.66,0,960.12,0,,0,4.34,26393,0,,,0,0,,0,27.49,0,200,#DIV/0!,,2,0%,,0,2,0,,0,0,,,0,#DIV/0!,1.5,,,,,,,,,,,,,,,
P4,P4-2,0.7,1.4,9,993.6,0,0.81,0,1129.52448,0,,0,5.9,16902,0,,,14816,0,,0,14.96,13.12,250,#DIV/0!,,2,0%,,0,2,0,,0,0,,,0,#DIV/0!,1.5,,,,,,,,,,,,,,,
P4,P4-3,0.7,1.4,10,1188,0,1,0,1663.2,0,,0,4.25,19026,0,,,19038,0,,99,11.44,11.45,100,#DIV/0!,,8,0%,,0,8,0,,0,0,,,0,#DIV/0!,1.88,,,,,,,,,,,,,,,
